Page,Region,Current Page Purpose,Current Primary Message,Business Profile Alignment,Services Directory Alignment,ICP Alignment,SEO Matrix Alignment,Current Primary Intent,Approved SEO Ownership,Missing Information,Incorrect Information,Potentially Risky Claims,Strategic Opportunity,Recommended Action,Action Priority,SEO Impact,Conversion Impact,Source Reference,Confidence,Owner Approval Required,Notes
/,GLOBAL,Region router + brand entry,One Team / managed IT+media partner,PARTIAL — Profile is four-domain managed services; site leads IT+media,PARTIAL — ops/CRM under-represented,UNKNOWN — dedicated Target Client Profile file not found; Profile ICP 10–50+ partially echoed,ALIGNED — no country KW forcing,Brand/nav,Global router,Four-domain architecture; Essential/Business/Enterprise framing,None material,"enterprise-level" wording (safe if scoped to SME promise),Light global capability framing without diluting router role,KEEP — MINOR FUTURE REFINEMENT,P2,Low if careful,Medium,Business Profile §§About/What We Do,High,YES for any four-domain expansion,Do not turn into keyword page
/about,GLOBAL,Trust/about,Cross-border IT+media partner,PARTIAL vs four-domain Profile,PARTIAL,UNKNOWN (file missing),Neutral,Trust,Support,Business Ops + CRM + managed-services philosophy,None,"enterprise-level" if overstated,Align About to Profile narrative (one partnership not ten vendors),REVISE (future),P1,Low,Medium,Business Profile §§About/Why VIIX,High,YES,
/service,GLOBAL,Capability overview,Four pillars incl. Business Growth Infrastructure,MISALIGNED naming — Profile domains ≠ site pillars,PARTIAL — BGI label maps to media not Profile domains,UNKNOWN,OK as global overview not ZA/NG primary,Commercial overview,Global service overview,"Business Operations; Customer Relations; named tiers",Pillar taxonomy outdated vs Aug 2026 Profile,"Business Growth Infrastructure" as public pillar name (SEO reject as search category),Rename pillars to Profile domains; keep acquisition thin,REVISE,P1,Medium (naming),Medium,Business Profile four domains; Phase 3.1 reject BGI-as-category,High,YES,"IMAGE/CONTENT ASSOCIATION ISSUE — DEFERRED TO NEXT PHASE if any"
/feature,GLOBAL,How we work,Discovery→optimisation,PARTIAL — missing retainer/allocation/CR/SOW language,PARTIAL,UNKNOWN,Support,Process,Support,Managed-services model details (allocation; CR/SOW),None,None material,Add Profile How We Work concepts without price lists,EXPAND (future),P1,Low,High,Business Profile §How We Work,High,YES,
/price,GLOBAL,Region router for investment,Pricing is region-specific,ALIGNED with regional pricing,N/A,UNKNOWN,Neutral,Commercial,Support,Named Essential/Business/Enterprise as concepts (not prices),None,None,Optional tier names after assessment — no public prices,KEEP — MINOR FUTURE REFINEMENT,P2,None,Low,Business Profile §Service Levels,High,NO,
/testimonial,GLOBAL,Proof,Track record geo-neutral,ALIGNED with geo-neutral rule,N/A,UNKNOWN,Neutral,Trust,Support,None critical,None if geo-neutral held,Outcome claims without measurement,KEEP,P3,None,Medium,Gate 2 / Phase 4 claim lock,High,NO for copy; YES for new case claims,
/team,GLOBAL,Leadership,Founders,PARTIAL,N/A,UNKNOWN,Neutral,Trust,Support,COO/MD market roles per Profile,None,"20+" and "22+" individual years vs Profile silence on personal years,Reconcile personal tenure claims to approved stats,OWNER APPROVAL REQUIRED,P0,None,Low,Business Profile §Markets; Gate 2 stats,Medium,YES,22+ years on creative bio needs confirmation
/contact,GLOBAL,Contact,Contact details,ALIGNED,N/A,UNKNOWN,Neutral,Nav,Support,None,None,None,KEEP,P3,None,Low,Business Profile §Contact,High,NO,
/quote,GLOBAL,Conversion,Assessment CTA,PARTIAL,N/A,UNKNOWN,Neutral,Conversion,Support,Managed-services expectation setting,None,None,Clarify assessment leads to scoped retainer/SOW,KEEP — MINOR FUTURE REFINEMENT,P2,None,Medium,Business Profile §Managed Services Model,High,NO,
/en-za,ZA,Regional entry,IT department you never had / managed IT,ALIGNED for ZA acquisition; incomplete vs full Profile,ALIGNED to Tech domain primary,PARTIAL (SME/freelance→SLA matches Profile),ALIGNED support/entry,Regional commercial entry,Support managed IT,Light mention of media-after-IT only (OK),None,enterprise-level IT,KEEP,P3,Low,Medium,Phase 3.1 ZA; Business Profile Tech,High,NO,
/en-za/about,ZA,Regional about,POPIA/freelance IT problem,ALIGNED to ZA IT story,ALIGNED Tech+POPIA supporting,PARTIAL,ALIGNED,Trust,Support,Broader Profile partner narrative secondary,None,POPIA urgency language (claim-safe if no guarantee),KEEP — MINOR FUTURE REFINEMENT,P2,Low,Medium,en-za About; Services Directory compliance,High,NO unless stronger POPIA claims,
/en-za/service,ZA,Primary commercial SEO,Managed IT for SA SMEs,ALIGNED acquisition; not full directory dump,GOOD coverage of core managed IT; some directory items light,PARTIAL,ALIGNED primary owner,Commercial primary,/en-za/service owns managed IT clusters,Optional: reporting/advisory; after-hours caveat; tier names,None if no SOC claims,Cyber/POPIA language currently conservative — KEEP claim-safe,EXPAND carefully (supporting bullets only),P1,High if stuffing avoided,High,Phase 3.1; Services Directory §Technology,High,YES for any new cyber wording,"Do not publish full directory"
/en-za/feature,ZA,How we work / POPIA-aware,Stabilise IT process,ALIGNED supporting,ALIGNED,PARTIAL,ALIGNED supporting POPIA/process,Process,/en-za/feature supporting,Retainer allocation; escalation; CR/SOW,None,None material,EXPAND delivery-model language,P1,Medium,High,Business Profile §How We Work,High,YES,
/en-za/price,ZA,Investment,Scoped packages / assessment,PARTIAL vs named Essential/Business/Enterprise,PARTIAL,PARTIAL,ALIGNED commercial support,Commercial,Support,"Named tiers without prices; what's in/out of retainer",Line implying most POPIA businesses include active monitoring,POTENTIALLY MISLEADING if over-promises monitoring scope,Clarify tiers + quote-separately projects,REVISE,P0,Low,High,Business Profile Service Levels; Directory Technology Projects,Medium,YES,Claim safety on monitoring wording
/en-za/testimonial,ZA,Proof,Geo-neutral outcomes,ALIGNED,N/A,UNKNOWN,Neutral,Trust,Support,None,None if geo held,None,KEEP,P3,None,Medium,Gate 2,High,NO,
