Keyword,Country,Search evidence,Commercial intent,SERP intent,Keyword type,VIIX relevance,Existing page,Priority,Decision,Opportunity score (0-35),Decision rationale,Google Keyword Planner volume,Google Keyword Planner competition,Implementation rule
managed IT services South Africa,ZA,Directional: strong,High,Very high,Service,High,/en-za/service,P1,TARGET,33,"Core commercial category; strong competitor/SERP evidence",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
managed IT services Cape Town,ZA,Directional: strong,High,Very high,Local service,High,/en-za/service,P1,TARGET,34,"Strong local commercial intent; multiple Cape Town MSPs explicitly target this market",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
IT support Cape Town,ZA,Directional: strong,High,Very high,Local service,High,/en-za/service,P1,TARGET,34,"Direct service intent and strong local SERP evidence",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
managed IT for small business,ZA,Directional: strong,High,Very high,Service/ICP,High,/en-za/service,P1,TARGET,34,"Excellent match to SME ICP",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
outsourced IT support South Africa,ZA,Directional: strong,High,Very high,Service,High,/en-za/service,P1,TARGET,33,"Direct outsourced-IT buying intent",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
IT support for small business Cape Town,ZA,Directional: strong,High,Very high,Local service/ICP,High,/en-za/service,P1,TARGET,35,"Very strong combination of ICP, service and geography",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
cybersecurity for SMEs South Africa,ZA,Directional: strong,High,High,Service/problem,High,/en-za/service,P1,TARGET,31,"Strong commercial pain point; must avoid unsupported technical claims",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
POPIA IT compliance,ZA,Directional: moderate,High,High,Compliance/problem,High,/en-za/feature,P1,TARGET AS SUPPORTING CLUSTER,29,"Use as supporting topic/section unless exact service scope is approved",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
POPIA IT support South Africa,ZA,Directional: moderate,High,High,Compliance/service,High,/en-za/service,P1,TARGET AS SUPPORTING CLUSTER,29,"Potentially useful but needs precise copy around actual VIIX capability",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
Microsoft 365 managed services South Africa,ZA,Directional: strong,High,High,Service,High,/en-za/service,P2,TARGET,29,"Established managed-IT service category",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
Microsoft 365 support Cape Town,ZA,Directional: strong,High,High,Local service,High,/en-za/service,P2,TARGET,29,"Strong supporting service intent",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
Google Workspace admin for business South Africa,ZA,Directional: moderate,Medium,High,Service,High,/en-za/service,P2,TARGET,27,"Useful secondary cluster if service delivery is approved",Not verified,Not verified,"Use only after Phase 4 copy review; no keyword stuffing"
