Page,Section,Old asset,New asset,Source platform,Source URL,License basis,Search phrase,Representation assessment,Semantic relevance,Crop suitability,Responsive assessment,Decision,Notes
"/service; /en-za/service; /en-ng/service",CRM Implementation,img/pexels-olia-danilevich-8145347.jpg,img/pexels-christina-morillo-1181519.jpg,Pexels,https://www.pexels.com/photo/woman-standing-near-whiteboard-1181519/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement; depicted trademarks remain protected. Verified 2026-08-18 against current Pexels License terms and live images.pexels.com delivery of photo 1181519. Photographer Christina Morillo (@divinetechygirl). Download 2026-08-18 w=1600.,"African American people CRM",PASS — African-descended professional; no token mixed boardroom,PASS — glass whiteboard with SLA/user notes supports customer-systems work,PASS — landscape 1600x1068; face has headroom under focal-center,PASS at 375/768/1024/1100/1200/1280 simulated 220px cover crops — head not clipped,IMPLEMENTED,Replaces the previous CRM portrait that clipped the head. Distinct from Consulting whiteboard photo 9034265.
"/service; /en-za/service",Customer Service,img/pexels-kampus-production-8439694.jpg,img/pexels-gustavo-fring-7446590.jpg,Pexels,https://www.pexels.com/photo/7446590/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Gustavo Fring. Download 2026-08-18 w=1600.,"African American people customer service",PASS — African-descended professional in a modern office; background colleagues are not a token handshake set,PASS — tablet review in a glass-walled office reads as service/operations without a neon call centre,PASS — 1600x1067 landscape; face and tablet remain in 220px cover with focal-head (center 22%),PASS at listed breakpoints — head not clipped,IMPLEMENTED,Rejected call-centre / headset clichés (e.g. 7658411 Irish flags; 7690162 headset-only).
"/service; /en-ng/service",Sales Operations,img/pexels-silverkblack-36733313.jpg,img/pexels-mikhail-nilov-9301763.jpg,Pexels,https://www.pexels.com/photo/9301763/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Mikhail Nilov. Download 2026-08-18 w=1600.,"African American people sales team",PASS — African-descended presenter and colleagues,PASS — briefing with a document in a modern meeting; not a handshake,PASS — vertical 1600x2400; focal-head keeps the standing presenter's face inside 220px cover,PASS at listed breakpoints. Card crop emphasises the presenter; seated colleagues are secondary in the short crop.,IMPLEMENTED,Distinct from CRM and Consulting. Residual: printed sales-by-region chart from the old asset is no longer visible.
"/service; /en-ng/service",Consulting,img/feature.jpg,img/pexels-rdne-9034265.jpg,Pexels,https://www.pexels.com/photo/9034265/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer RDNE Stock project (@rdne). Download 2026-08-18 w=1600.,"African American people business consultation",PASS — African-descended consultant presenting,PASS — whiteboard presentation with a chart; no handshake,PASS — vertical 1600x2400; focal-head (center 22%) keeps the head and the Commitment/Satisfaction chart in frame,PASS at listed breakpoints — head near top but not clipped,IMPLEMENTED,Do not reuse 1181519 here. New CSS helper .focal-head added for portfolio cards only.
"/about; /en-za/about; /en-ng/about",Who We Are,img/legacy/about-mission.jpg,img/pexels-rdne-7490839.jpg,Pexels,https://www.pexels.com/photo/women-having-a-meeting-7490839/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer RDNE Stock project (@rdne). Download 2026-08-18 w=1600.,"African American people business consultation",PASS — two African-descended professionals in a modern lounge,PASS — collaborative laptop meeting supports Who We Are,PASS — vertical 1600x2400 full-body source; about-col object-position center 18% keeps both faces and the laptop in the 220px strip,PASS at listed breakpoints — faces not clipped,IMPLEMENTED,.about-col .img img.focal-top added so about cards can use the same crop control without changing card height.
"/service; /en-za/service",Procurement,img/pexels-tima-miroshnichenko-6169032.jpg,img/pexels-tima-miroshnichenko-6169643.jpg,Pexels,https://www.pexels.com/photo/6169643/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Tima Miroshnichenko (same warehouse/clipboard series as 6169640/6169644). Owner visual-direction reference. Download 2026-08-18 w=1600.,"African American people warehouse clipboard",PASS — African-descended logistics professional,PASS — clipboard plus carton shelves; FRAGILE handling labels are generic shipping marks not a competing brand,PASS — landscape; focal-center keeps head clipboard and shelves (replaces previous focal-top full-body fight),PASS at listed breakpoints,IMPLEMENTED,Owner supplied this URL as visual direction. Same photographer as the replaced 6169032 asset; different photograph.
"/about; /en-za/about",Where We Work,img/legacy/remote-services.jpg,img/pexels-yan-krukau-7792817.jpg,Pexels,https://www.pexels.com/photo/7792817/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Yan Krukau (@yankrukov). Download 2026-08-18 w=1600.,"African American people working laptop",PASS — African-descended professional at a laptop,PASS — remote/hybrid desk work; laptop has no competing logo in the used crop,PASS — focal-center keeps face and laptop in 220px about-col,PASS at listed breakpoints,IMPLEMENTED,Not used on /en-ng/about (that column is Who we serve / brand desk KEEP).
"/about; /en-za/about; /en-ng/about; /feature; /contact",How We Help / How We Work / Contact,img/legacy/about-plan.jpg,img/pexels-mikael-blomkvist-6476589.jpg,Pexels,https://www.pexels.com/photo/person-holding-white-ipad-on-brown-wooden-table-6476589/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Mikael Blomkvist. Download 2026-08-18 w=1600.,"African American people working laptop",PASS — African-descended hands; no white-person default,PASS — tablet growth chart plus clipboard on a desk supports planning/help,PASS — overhead; no head-clip risk; focal-center,PASS at listed breakpoints and in taller media-frames on /feature and /contact,IMPLEMENTED,Preferred over vertical portrait 7606054 for crop safety. Pexels title mentions iPad; used crop is screen-facing with no Apple logo visible. Residual trademark watch.
"/; /about; /service",Problem teaser / About teaser / Management,img/legacy/hands.jpg,img/pexels-kindel-media-7688460.jpg,Pexels,https://www.pexels.com/photo/woman-pointing-on-the-white-paper-7688460/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer Kindel Media. Download 2026-08-18 w=1600.,"African American people business meeting; African American people teamwork laptop",PASS — African-descended professionals leading a strategy review; no mixed token hand-stack,PASS — overhead marketing strategy charts and laptop support Management and fragmentation messaging,PASS — landscape 1600x1200 overhead; focal-center keeps charts and laptop in 220px cover,PASS at listed breakpoints,IMPLEMENTED,Replaced interim 1181298 after owner feedback (CS textbooks on a couch). Rejected mixed overheads and token handshakes.
"/en-ng/about",NG about teaser,img/legacy/about-vision.jpg,img/pexels-picjumbo-com-196644.jpg,Pexels,https://www.pexels.com/photo/196644/,Pexels License — commercial website use allowed; attribution not required; do not imply endorsement. Verified 2026-08-18. Photographer picjumbo.com. Download 2026-08-18 w=1600.,"African American people branding (fallback: brand/web planning documents)",N/A — non-human fallback,PASS — website wireframe sketches support NG visibility-first positioning without repeating 7818219 on the same page,PASS — landscape desk still-life fills media-frame,PASS in media-frame (min-height 380px / 220px mobile),IMPLEMENTED,Did not reuse img/pexels-leeloothefirst-7818219.jpg (already mosaic + Who we serve on this page). Did not touch walls.io.
