Page,URL,Section,Section Heading,Image File,Image Path,Image Description,Image Role,Current Placement,Content Topic,Content Domain,Semantic Match,Placement Correct,Alt Text Present,Alt Text Accurate,Duplicate Asset,Existing Better Asset,Recommended Action,Priority,Reason,Source Evidence,Implementation Notes
index.html,/,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
index.html,/,Chrome (nav/footer),Chrome (nav/footer),viixlogotext.png,img/logo/viixlogotext.png,VIIX wordmark,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
index.html,/,Hero,Hero,carousel-1.jpg,img/carousel-1.jpg,Low-angle modern glass skyscraper; corporate atmospheric,Content,Hero,VIIX brand hero / atmospheric video fallback,Brand,PASS,CORRECT,YES,N/A-decorative,NO,,KEEP,P3,Atmospheric brand hero; empty alt appropriate for decorative fallback.,Visual: corporate skyscraper; no service-specific claim.,Unchanged.
index.html,/,The Problem,Fragmentation costs more than you think,pexels-cottonbro-6804093.jpg,img/pexels-cottonbro-6804093.jpg,Physical Kanban board on brick wall with IT/dev sticky notes,Content,The Problem,Fragmentation across website/social/IT vendors,Multi-domain (ops metaphor),WEAK,CORRECT,YES,WEAK,NO,legacy/hands.jpg (teamwork) or keep,REVIEW,P2,Kanban/IT sticky notes only partially represent multi-vendor fragmentation; alt Digital operations is vague.,Image shows agile board with IT role stickies.,Optional later swap to multi-domain visual; not blocking.
index.html,/,Chrome (nav/footer),Ready to Consolidate Your Digital Operations?,viixlogofull.png,img/logo/viixlogofull.png,VIIX full logo,Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
index.html,/,Visual mosaic,Customer &amp; Sales,pexels-googledeepmind-17485708.jpg,img/pexels-googledeepmind-17485708.jpg,Abstract metallic/digital infrastructure render with purple glow,Decorative/atmosphere,Visual mosaic,Capability atmosphere after four-domain teaser,Mixed,PASS,CORRECT,N/A,N/A-decorative,NO,,KEEP,P3,Abstract tech tile acceptable in editorial mosaic.,Abstract infrastructure render.,
index.html,/,Visual mosaic,Customer &amp; Sales,pexels-cookiecutter-17323801.jpg,img/pexels-cookiecutter-17323801.jpg,Server racks labeled NETWORK-2 in blue datacenter lighting,Decorative/atmosphere,Visual mosaic,Capability atmosphere,Technology & IT,PASS,CORRECT,N/A,N/A-decorative,NO,,KEEP,P3,Server racks fit global IT capability presence.,NETWORK-2 racks.,
index.html,/,Visual mosaic,Customer &amp; Sales,pexels-mikael-blomkvist-6483582.jpg,img/pexels-mikael-blomkvist-6483582.jpg,Laptop screen reading Digital Marketing on styled desk,Decorative/atmosphere,Visual mosaic,Capability atmosphere,Digital Marketing & Media,PASS,CORRECT,N/A,N/A-decorative,YES,,KEEP,P3,Digital Marketing screen balances IT tiles.,Laptop text Digital Marketing.,
index.html,/,Visual mosaic,Customer &amp; Sales,pexels-tara-winstead-8386440.jpg,img/pexels-tara-winstead-8386440.jpg,White robotic hand reaching toward glowing neural-network nodes,Decorative/atmosphere,Visual mosaic,Capability atmosphere,Technology & IT,WEAK,CORRECT,N/A,N/A-decorative,NO,,REVIEW,P3,Robot/AI hand may over-imply AI products not claimed in copy.,Robotic hand + neural net graphic.,Flag visual-claim risk; no text AI claim observed on this section.
about.html,/about,Chrome (nav/footer),Chrome (nav/footer),viixlogoshape.png,img/logo/viixlogoshape.png,VIIX logo mark (shape),Brand chrome,Chrome (nav/footer),Brand identity,Brand,PASS,CORRECT,YES,YES,YES,,KEEP,P3,Official VIIX logos; shape mark empty alt OK.,Logo assets.,Duplicate usage expected across pages.
