Priority,Page,Section,Current Asset,Problem,Required Action,Replacement Asset,Replacement Source,Reason,SEO Impact,UX Impact,Brand Impact,Implementation Risk,Approval Required
P0,/,Stats / claims (copy),(none — copy claim),OWNER DECISION — REMOVE public 20+ years tenure claim; do not replace with another numerical tenure.,REMOVE,,N/A — copy removal,OWNER DECISION — REMOVE public 20+ years tenure claim; do not replace with another numerical tenure.,Low if alts not keyword-stuffed,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/about,Who We Are (copy),(none — copy claim),OWNER DECISION — REMOVE unsupported tenure figure.,REMOVE,,N/A — copy removal,OWNER DECISION — REMOVE unsupported tenure figure.,Low if alts not keyword-stuffed,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/contact,Regional presence visuals,img/pexels-anshul-kumar-495857555-16023919.jpg,Alt Cape Town operations but image is HTML code macro — invents geography and subject.,REPLACE,img/carousel-1.jpg or img/legacy/about-mission.jpg,Existing project library,Alt Cape Town operations but image is HTML code macro — invents geography and subject.,Low if alts not keyword-stuffed,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/contact,Regional presence visuals,img/pexels-cookiecutter-17323801.jpg,Alt Lagos creative work but image is NETWORK-2 server racks — invents geography and creative subject.,REPLACE,img/legacy/branding.jpg or img/pexels-leeloothefirst-7818219.jpg,Existing project library,Alt Lagos creative work but image is NETWORK-2 server racks — invents geography and creative subject.,Low if alts not keyword-stuffed,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/en-ng,The Problem,../img/pexels-cookiecutter-17489160.jpg,Hard-drive caddies contradict Brand and visibility alt and NG visibility-first copy.,REPLACE,img/pexels-leeloothefirst-7818219.jpg or img/legacy/branding.jpg or img/pexels-walls-io-440716388-15595049.jpg,Existing project library,Hard-drive caddies contradict Brand and visibility alt and NG visibility-first copy.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/en-ng,Visual mosaic,../img/pexels-cookiecutter-17636234.jpg,VoIP phone in datacenter does not support NG website/brand mosaic.,MOVE,img/legacy/media-coverage.jpg or img/pexels-mikael-blomkvist-6483582.jpg,Existing project library,VoIP phone in datacenter does not support NG website/brand mosaic.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/en-ng/about,Lead about visual,../img/pexels-cookiecutter-17636234.jpg,VoIP/datacenter phone as About VIIX Nigeria lead contradicts NG brand positioning.,REPLACE,img/pexels-leeloothefirst-7818219.jpg or img/legacy/branding.jpg,Existing project library,VoIP/datacenter phone as About VIIX Nigeria lead contradicts NG brand positioning.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,Medium,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/en-ng/team,Team bios (copy),(none — copy claim),OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,REMOVE,,N/A — copy removal,OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/en-za/team,Team bios (copy),(none — copy claim),OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,REMOVE,,N/A — copy removal,OWNER DECISION — REMOVE 20+/22+ years tenure claims from public bios.,Preserve Phase 3.1 targeting; fix visuals only,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
P0,/feature,Engagement Framework photo pair,img/pexels-sejio402-6466141.jpg,Alt Discovery workshop but image is aged server racks (Kraftway/IBM); contradicts discovery workshop meaning.,REPLACE,img/legacy/about-plan.jpg or img/legacy/hands.jpg,Existing project library,Alt Discovery workshop but image is aged server racks (Kraftway/IBM); contradicts discovery workshop meaning.,Low if alts not keyword-stuffed,High — reduces confusion,High — claim/brand risk,Low — asset swap/alt/copy only; no SEO architecture change,YES
