Page,Section,Original Asset,New Asset,Action,Reason,Alt Text Before,Alt Text After,Tenure Claim Removed,Source,Status,Notes
/,Track Record claim block,(copy),(copy refined),REMOVE,OWNER DECISION remove 20+ tenure; preserve 2 countries / 10+ clients,N/A,N/A,YES — 20+ years,Phase 4.2C P0 + owner lock,DONE,Public copy now: 2 countries 10+ verified reference clients
/,The Problem,img/pexels-cottonbro-6804093.jpg,img/pexels-cottonbro-6804093.jpg,ALT-TEXT ONLY,Describe actual Kanban board; image KEEP (P2 REVIEW not implemented),Digital operations,Physical project task board with sticky notes on a brick wall,NO,Phase 4.2C alt issues,DONE,Image unchanged
/about,The Problem,img/pexels-mikael-blomkvist-6483582.jpg,img/legacy/hands.jpg,REPLACE,P1 multi-domain patchwork narrative vs Digital Marketing desk,About VIIX,Team members stacking hands over charts and a laptop,NO,Phase 4.2C P1,DONE,Existing library asset
/about,Who We Are copy,(copy),(copy refined),REMOVE,OWNER DECISION remove 20+ combined operational experience,N/A,N/A,YES — 20+ years,Phase 4.2C P0,DONE,Sentence now starts Our founding team helps…
/about,Who we are card,img/legacy/about-mission.jpg,img/legacy/about-mission.jpg,ALT-TEXT ONLY,Non-descriptive alt,Who we are,Two people at a cafe table using a tablet and smartphone,NO,Phase 4.2C alt,DONE,
/about,How we help card,img/legacy/about-plan.jpg,img/legacy/about-plan.jpg,ALT-TEXT ONLY,P3 ALT-TEXT ONLY,How we help,Hands writing notes beside an open laptop,NO,Phase 4.2C P3,DONE,
/about,Where we work card,img/legacy/about-vision.jpg,img/carousel-1.jpg,REPLACE,P1 photo-print mismatch for Where we work,Where we work,Modern glass office building viewed from below,NO,Phase 4.2C P1,DONE,Geography-neutral atmospheric building
/contact,Regional presence visuals,img/pexels-anshul-kumar-495857555-16023919.jpg,img/carousel-1.jpg,REPLACE,P0 false Cape Town alt on HTML code image,Cape Town operations,Modern glass office building viewed from below,NO,Phase 4.2C P0,DONE,
/contact,Regional presence visuals,img/pexels-cookiecutter-17323801.jpg,img/legacy/branding.jpg,REPLACE,P0 false Lagos alt on server racks,Lagos creative work,Printed brand and design publications arranged on a desk,NO,Phase 4.2C P0,DONE,
/feature,Engagement Framework,img/pexels-sejio402-6466141.jpg,img/legacy/about-plan.jpg,REPLACE,P0 Discovery workshop vs aged racks,Discovery workshop,Hands writing planning notes beside a laptop,NO,Phase 4.2C P0,DONE,
